date,price,score
2022-11-09 16:54:14,88.85,-2.41115665435791
2022-11-09 17:09:42,88.74,-1.7990819811820984
2022-11-09 17:24:27,88.765,-1.8093881607055664
2022-11-09 17:39:42,88.56,-0.9739534556865692
2022-11-09 17:54:32,88.7083,-0.969953179359436
2022-11-09 18:09:14,88.63,-1.4552270770072937
2022-11-09 18:24:39,88.525,-6.14230090379715
2022-11-09 18:39:13,87.845,-3.3086527585983276
2022-11-09 18:54:33,87.625,-0.8402729034423828
2022-11-09 19:09:32,88.0611,-0.07447654008865356
2022-11-09 19:24:14,88.0901,0.531212329864502
2022-11-09 19:39:25,87.75,-0.32987111806869507
2022-11-09 19:54:13,87.49,-0.9514082074165344
2022-11-09 20:09:16,87.76,-2.8208223581314087
2022-11-09 20:24:31,87.74,-1.0811642408370972
2022-11-09 20:39:26,87.67,-2.7394979000091553
2022-11-09 20:54:39,87.37,-1.8446945548057556
2022-11-09 21:00:04,87.32,-0.8648905754089355
2022-11-10 14:39:37,92.455,-43.301573395729065
2022-11-10 14:56:30,93.61,-0.12783241271972656
2022-11-10 15:10:05,93.72,-0.3240697979927063
2022-11-10 15:24:34,93.4,-3.053799092769623
2022-11-10 15:39:30,92.71,0.0
2022-11-10 15:54:32,93.425,0.4217958152294159
2022-11-10 16:09:24,92.97,-0.4892897605895996
2022-11-10 16:24:32,93.44,0.6956126987934113
2022-11-10 16:39:14,93.67,0.0
2022-11-10 16:54:14,93.595,-1.812248408794403
2022-11-10 17:09:20,93.705,-1.0595325231552124
2022-11-10 17:24:35,93.505,1.8071792721748352
2022-11-10 17:39:38,93.2324,0.7417981028556824
2022-11-10 17:54:26,93.245,0.17788773775100708
2022-11-10 18:09:31,93.37,-0.754920482635498
2022-11-10 18:24:32,93.14,-0.49167922139167786
2022-11-10 18:39:21,93.125,-1.773094654083252
2022-11-10 18:54:41,93.45,0.9907567501068115
2022-11-10 19:09:22,93.54,-1.829938292503357
2022-11-10 19:24:30,93.47,2.9269723892211914
2022-11-10 19:39:27,93.661,-2.589597523212433
2022-11-10 19:39:32,93.65,0.0
